date,city,precipitation
2020-07-31,NYC,1.07
2020-08-01,NYC,0.0
2020-08-02,NYC,0.0
2020-08-03,NYC,0.13
2020-08-04,NYC,0.12
2020-08-05,NYC,0.0
2020-08-06,NYC,0.03
2020-08-07,NYC,0.36
2020-08-08,NYC,0.0
2020-08-09,NYC,0.0
2020-08-10,NYC,0.0
2020-08-11,NYC,0.0
2020-08-12,NYC,0.5
2020-08-13,NYC,0.01
2020-08-14,NYC,0.0
2020-08-15,NYC,0.0
2020-08-16,NYC,0.29
2020-08-17,NYC,0.06
2020-08-18,NYC,0.07
2020-08-19,NYC,0.35
2020-08-20,NYC,0.0
2020-08-21,NYC,0.0
2020-08-22,NYC,0.0
2020-08-23,NYC,0.0
2020-08-24,NYC,0.0
2020-08-25,NYC,0.08
2020-08-26,NYC,0.0
2020-08-27,NYC,0.69
2020-08-28,NYC,0.03
2020-08-29,NYC,0.1
2020-08-30,NYC,0.0
2020-08-31,NYC,0.0
2020-09-01,NYC,0.2
2020-09-02,NYC,0.07
2020-09-03,NYC,0.51
2020-09-04,NYC,0.0
2020-09-05,NYC,0.0
2020-09-06,NYC,0.0
2020-09-07,NYC,0.0
2020-09-08,NYC,0.0
2020-09-09,NYC,0.0
2020-09-10,NYC,1.36
2020-09-11,NYC,0.0
2020-09-12,NYC,0.0
2020-09-13,NYC,0.0
2020-09-14,NYC,0.0
2020-09-15,NYC,0.0
2020-09-16,NYC,0.0
2020-09-17,NYC,0.0
2020-09-18,NYC,0.04
2020-09-19,NYC,0.0
2020-09-20,NYC,0.0
2020-09-21,NYC,0.0
2020-09-22,NYC,0.0
2020-09-23,NYC,0.0
2020-09-24,NYC,0.0
2020-09-25,NYC,0.0
2020-09-26,NYC,0.0
2020-09-27,NYC,0.06
2020-09-28,NYC,0.04
2020-09-29,NYC,0.13
2020-09-30,NYC,0.45
2020-10-01,NYC,0.0
2020-10-02,NYC,0.04
2020-10-03,NYC,0.0
2020-10-04,NYC,0.0
2020-10-05,NYC,0.0
2020-10-06,NYC,0.07
2020-10-07,NYC,0.0
2020-10-08,NYC,0.0
2020-10-09,NYC,0.0
2020-10-10,NYC,0.0
2020-10-11,NYC,0.0
2020-10-12,NYC,1.1
2020-10-13,NYC,0.14
2020-10-14,NYC,0.0
2020-10-15,NYC,0.0
2020-10-16,NYC,1.54
2020-10-17,NYC,0.15
2020-10-18,NYC,0.0
2020-10-19,NYC,0.0
2020-10-20,NYC,0.03
2020-10-21,NYC,0.0
2020-10-22,NYC,0.0
2020-10-23,NYC,0.01
2020-10-24,NYC,0.0
2020-10-25,NYC,0.02
2020-10-26,NYC,0.11
2020-10-27,NYC,0.0
2020-10-28,NYC,0.1
2020-10-29,NYC,1.19
2020-10-30,NYC,0.48
2020-10-31,NYC,0.0
2020-11-01,NYC,0.61
2020-11-02,NYC,0.0
2020-11-03,NYC,0.0
2020-11-04,NYC,0.0
2020-11-05,NYC,0.0
2020-11-06,NYC,0.0
2020-11-07,NYC,0.0
2020-11-08,NYC,0.0
2020-11-09,NYC,0.0
2020-11-10,NYC,0.0
2020-11-11,NYC,0.86
2020-11-12,NYC,0.32
2020-11-13,NYC,0.15
2020-11-14,NYC,0.0
2020-11-15,NYC,0.34
2020-11-16,NYC,0.0
2020-11-17,NYC,0.0
2020-11-18,NYC,0.0
2020-11-19,NYC,0.0
2020-11-20,NYC,0.0
2020-11-21,NYC,0.0
2020-11-22,NYC,0.01
2020-11-23,NYC,0.75
2020-11-24,NYC,0.0
2020-11-25,NYC,0.0
2020-11-26,NYC,0.47
2020-11-27,NYC,0.0
2020-11-28,NYC,0.0
2020-11-29,NYC,0.0
2020-11-30,NYC,1.14
2020-12-01,NYC,0.0
2020-12-02,NYC,0.0
2020-12-03,NYC,0.0
2020-12-04,NYC,0.1
2020-12-05,NYC,1.13
2020-12-06,NYC,0.0
2020-12-07,NYC,0.0
2020-12-08,NYC,0.0
2020-12-09,NYC,0.01
2020-12-10,NYC,0.0
2020-12-11,NYC,0.0
2020-12-12,NYC,0.0
2020-12-13,NYC,0.0
2020-12-14,NYC,0.28
2020-12-15,NYC,0.0
2020-12-16,NYC,0.39
2020-12-17,NYC,0.48
2020-12-18,NYC,0.0
2020-12-19,NYC,0.0
2020-12-20,NYC,0.08
2020-12-21,NYC,0.0
2020-12-22,NYC,0.0
2020-12-23,NYC,0.0
2020-12-24,NYC,0.12
2020-12-25,NYC,0.59
2020-12-26,NYC,0.0
2020-12-27,NYC,0.0
2020-12-28,NYC,0.0
2020-12-29,NYC,0.0
2020-12-30,NYC,0.0
2020-12-31,NYC,0.36
2021-01-01,NYC,0.63
2021-01-02,NYC,0.07
2021-01-03,NYC,0.12
2021-01-04,NYC,0.01
2021-01-05,NYC,0.0
2021-01-06,NYC,0.0
2021-01-07,NYC,0.0
2021-01-08,NYC,0.0
2021-01-09,NYC,0.0
2021-01-10,NYC,0.0
2021-01-11,NYC,0.0
